ID,TYPE,DIVISION,LOCATION,IMAGE_LINK,VIDEO_LINK,LATITUDE,LONGITUDE,Location_1
113,Bench Dip,Acton,Lake Burley Griffin Foreshore,,,-35.2871,149.115482,"(-35.2871, 149.115482)"
112,Sit Up Bench,Ainslie,Ainslie Football Park,,,-35.263555,149.138529,"(-35.263555, 149.138529)"
108,Chinup Bar,Ainslie,Ainslie Football Park,,,-35.262985,149.138734,"(-35.262985, 149.138734)"
111,Step Ups,Ainslie,Ainslie Football Park,,,-35.263536,149.138549,"(-35.263536, 149.138549)"
107,Parallel Bars,Ainslie,Ainslie Football Park,,,-35.262681,149.138779,"(-35.262681, 149.138779)"
110,Vault,Ainslie,Ainslie Football Park,,,-35.263033,149.138728,"(-35.263033, 149.138728)"
109,Balance Beam,Ainslie,Ainslie Football Park,,,-35.263009,149.138715,"(-35.263009, 149.138715)"
106,Horizontal Ladder,Ainslie,Ainslie Football Park,,,-35.262629,149.138784,"(-35.262629, 149.138784)"
287,Stretching Equipment,Ainslie,Angas Street Road Verge,,,-35.263595,149.1385,"(-35.263595, 149.1385)"
23,Parallel Bars,Belconnen,John Knight Memorial Park,,,-35.236962,149.074375,"(-35.236962, 149.074375)"
27,Chinup Bar,Belconnen,John Knight Memorial Park,,,-35.236961,149.074335,"(-35.236961, 149.074335)"
25,Chinup Bar,Belconnen,John Knight Memorial Park,,,-35.236962,149.074349,"(-35.236962, 149.074349)"
21,Shoulder Press,Belconnen,John Knight Memorial Park,,,-35.236921,149.074346,"(-35.236921, 149.074346)"
22,Aerobic Walker,Belconnen,John Knight Memorial Park,,,-35.236927,149.074377,"(-35.236927, 149.074377)"
29,Horizontal Ladder,Belconnen,John Knight Memorial Park,,,-35.236951,149.074314,"(-35.236951, 149.074314)"
20,Leg Press,Belconnen,John Knight Memorial Park,,,-35.236917,149.074312,"(-35.236917, 149.074312)"
26,Chinup Bar,Belconnen,John Knight Memorial Park,,,-35.236967,149.074342,"(-35.236967, 149.074342)"
28,Pull Ups,Belconnen,John Knight Memorial Park,,,-35.236966,149.074327,"(-35.236966, 149.074327)"
24,Roman Rings,Belconnen,John Knight Memorial Park,,,-35.236955,149.074343,"(-35.236955, 149.074343)"
270,Chinup Bar,Belconnen,John Knight Memorial Park,,,-35.237121,149.073929,"(-35.237121, 149.073929)"
267,Sit Up Bench,Belconnen,John Knight Memorial Park,,,-35.237291,149.073796,"(-35.237291, 149.073796)"
276,Stretching Equipment,Belconnen,John Knight Memorial Park,,,-35.237141,149.073732,"(-35.237141, 149.073732)"
269,Log Hop,Belconnen,John Knight Memorial Park,,,-35.237297,149.073844,"(-35.237297, 149.073844)"
264,Sit Up Bench,Belconnen,John Knight Memorial Park,,,-35.237171,149.073751,"(-35.237171, 149.073751)"
265,Stretching Equipment,Belconnen,John Knight Memorial Park,,,-35.237172,149.073722,"(-35.237172, 149.073722)"
266,Bench Dip,Belconnen,John Knight Memorial Park,,,-35.237264,149.073782,"(-35.237264, 149.073782)"
271,Sit Up Bench,Belconnen,John Knight Memorial Park,,,-35.237144,149.073958,"(-35.237144, 149.073958)"
274,Sit Up Bench,Belconnen,John Knight Memorial Park,,,-35.23719,149.073964,"(-35.23719, 149.073964)"
272,Step Ups,Belconnen,John Knight Memorial Park,,,-35.237156,149.073905,"(-35.237156, 149.073905)"
273,Horizontal Bar,Belconnen,John Knight Memorial Park,,,-35.237166,149.07397,"(-35.237166, 149.07397)"
263,Stretching Equipment,Belconnen,John Knight Memorial Park,,,-35.23716,149.073709,"(-35.23716, 149.073709)"
275,Vault,Belconnen,John Knight  Memorial Park,,,-35.237148,149.073737,"(-35.237148, 149.073737)"
290,Sit Up Bench,Belconnen,John Knight Memorial Park,,,-35.237129,149.073924,"(-35.237129, 149.073924)"
187,Ping Pong Table,Bonner,Bilin Bilins Treet Neighbourhood Park,,,-35.152422,149.147076,"(-35.152422, 149.147076)"
204,Push Ups,Campbell,Campbell Sect 5 Fitness Site A,,,-35.288681,149.144923,"(-35.288681, 149.144923)"
205,Sit Up Bench,Campbell,Campbell Fitness Site A,,,-35.288708,149.144915,"(-35.288708, 149.144915)"
203,Chinup Bar,Campbell,Campbell Sec 5 Fitness Site A,,,-35.28867,149.144853,"(-35.28867, 149.144853)"
206,Sit Up Bench,Campbell,Campbell Sect 5 Fitness Site A,,,-35.288712,149.144857,"(-35.288712, 149.144857)"
11,Body Lift,Casey,John Crawford Crescent Neighbourhood Park,,,-35.171564,149.094203,"(-35.171564, 149.094203)"
6,Exercise Bike,Casey,John Crawford Crescent Neighbourhood Park,,,-35.171364,149.093854,"(-35.171364, 149.093854)"
5,Stretching Equipment,Casey,John Crawford Crescent Neighbourhood Park,,,-35.171404,149.094132,"(-35.171404, 149.094132)"
10,Chinup Bar,Casey,John Crawford Crescent Neighbourhood Park,,,-35.171289,149.09388,"(-35.171289, 149.09388)"
