ASSET_ID,EQUIPMENT,LOCATION,DIVISION_NAME,IMAGE_LINK,VIDEO_LINK,LATITUDE,LONGITUDE,Location_1
Plgr178,"This playground has 4 play areas with a total of 45 structures, featuring a bridge 2 combinations of play structures 39 natural play areas a rotating item 2 swings.",Finn Street Neighbouhood Park,O'connor,,,-35.260888,149.118359,"(-35.260888, 149.118359)"
Plgr228,"This playground has 3 play areas with a total of 6 structures, featuring 2 combinations of play structures 3 rockers a swing.",Coyne Street District Park,Fadden,,,-35.411025,149.120551,"(-35.411025, 149.120551)"
Plgr219,"This playground has 2 play areas with a total of 1 structure, featuring a combination of play structures.",Cremone Place Neighbourhood Park,Conder,,,-35.464393,149.102991,"(-35.464393, 149.102991)"
Plgr271,"This playground has 1 play area with a total of 9 structures, featuring a climbing structure a combination of play structures 3 rockers 3 rotating items a swing.",Sangster Place Shopping Centre,Wanniassa,,,-35.390616,149.085639,"(-35.390616, 149.085639)"
Plgr278,"This playground has 7 play areas with a total of 24 structures, featuring a balancing item a bridge 6 climbing structures 2 combinations of play structures a rocker 3 rotating items 2 sandy play areas a sculpture a slide 6 swings.",Mcgilvray Close District Park,Gordon,,,-35.456079,149.083775,"(-35.456079, 149.083775)"
Plgr89,"This playground has 1 play area with a total of 1 structure, featuring a combination of play structures.",Kesteven Street Florey Shopping Centre,Florey,,,-35.226588,149.054616,"(-35.226588, 149.054616)"
Plgr195,"This playground has 2 play areas with a total of 26 structures, featuring a combination of play structures 24 natural play areas a swing.",Telopea Park,Barton,,,-35.315086,149.137312,"(-35.315086, 149.137312)"
Plgr242,"This playground has 8 play areas with a total of 32 structures, featuring 3 balancing items 2 combinations of play structures 22 natural play areas 3 swings.",Anketell Street,Greenway,,,-35.411067,149.065976,"(-35.411067, 149.065976)"
Plgr116,"This playground has 1 play area with a total of 5 structures, featuring a bridge a combination of play structures a rocker a rotating item a swing.",Hancock Street Pedestrian Parkland,Spence,,,-35.201658,149.064286,"(-35.201658, 149.064286)"
Plgr10,"This playground has 1 play area with a total of 3 structures, featuring a rocker a slide a swing.",Hawdon Street Neighbourhood Park,Dickson,,,-35.25269,149.149211,"(-35.25269, 149.149211)"
Plgr130,"This playground has 3 play areas with a total of 8 structures, featuring 2 combinations of play structures 4 rockers 2 swings.",Diddams Close (West),Belconnen,,,-35.227204,149.071722,"(-35.227204, 149.071722)"
Plgr142,"This playground has 1 play area with a total of 3 structures, featuring a combination of play structures a rocker a swing.",Scarlett Street Neighbourhood Park,Melba,,,-35.211514,149.053432,"(-35.211514, 149.053432)"
Plgr172,"This playground has 1 play area with a total of 5 structures, featuring a combination of play structures 3 rockers a swing.",Condamine Street Neighbourhood Park,Turner,,,-35.267364,149.123258,"(-35.267364, 149.123258)"
Plgr1,"This playground has 3 play areas with a total of 5 structures, featuring a combination of play structures 2 rockers a rotating item a swing.",Paterson Street Neighbourhood Park,Ainslie,,,-35.268805,149.141571,"(-35.268805, 149.141571)"
Plgr162,"This playground has 1 play area with a total of 5 structures, featuring a combination of play structures 3 rockers a swing.",Read Place Pedestrian Parkland,Evatt,,,-35.217985,149.067009,"(-35.217985, 149.067009)"
Plgr185,"This playground has 1 play area with a total of 2 structures, featuring a combination of play structures a rocker.",Geerilong Gardens Neighbourhood Park,Reid,,,-35.283076,149.143688,"(-35.283076, 149.143688)"
